,customer lifetime value
159,7649.28199
160,2287.59692
161,4475.424592
162,8714.922135
163,2248.449633
164,7416.197322
165,7771.158973
166,6968.3419
167,4250.282624
168,19776.56654
169,21343.46599
170,2413.139714
171,15363.84716
172,8456.961887
173,2189.642522
174,5780.182197
175,4639.981638
176,4465.335703
177,5968.118877
178,5097.763337
179,4076.634665
180,12252.60179
181,16936.27147
182,4892.435461
183,9942.304791
184,3735.838129
185,13117.52215
186,4574.524094
187,5470.060561
188,2978.84601
189,6410.967544
190,4479.023088
191,2383.731879
192,2764.493659
193,7920.105377
194,6889.097981
195,3274.194616
196,9951.707743
197,2521.555686
198,23706.11337
199,6047.02516
200,11140.30248
201,4334.064096
202,2799.74791
203,7923.136624
204,3688.110888
205,12067.45599
206,2924.976721
207,15014.0927
208,9277.233839
209,6274.123875
210,3886.647414
211,4386.277558
212,11365.26766
213,5610.96434
214,2912.892035
215,6915.729915
216,6262.663307
217,6503.397049
218,8007.399376
219,2929.916512
220,5969.55297
221,5473.15987
222,5645.396665
223,6369.262355
224,11833.76732
225,6121.107929
226,5159.369746
227,2514.59196
228,8668.611261
229,4960.965384
230,5504.139033
231,7507.455372
232,32269.85139
233,5657.031588
234,5061.757902
235,5912.783829
236,15182.27975
237,10747.03094
238,2050.623512
239,2465.444865
240,5343.121327
241,8119.829071
242,4605.265164
243,6408.785577
244,2376.533508
245,3211.070017
246,5094.522262
247,25755.27817
248,8672.229719
249,8044.73072
250,4001.519098
251,16706.11699
252,8544.411077
253,7805.31287
254,6112.756868
255,4772.943848
256,10979.09559
257,5004.263818
258,13223.04379
259,2623.31543
260,17840.19555
261,5106.111827
262,17930.60451
263,5457.342569
264,6563.644143
265,4812.525221
266,29328.04185
267,5773.520711
268,6847.1189
269,3595.31286
270,22855.61209
271,7859.414569
272,4115.577437
273,5029.638777
274,4821.418454
275,5004.310469
276,8630.053943
277,9322.08512
278,16727.56063
279,3652.532435
280,6158.601171
281,4376.083958
282,5569.456156
283,2576.513006
284,8346.983233
285,6323.923864
286,5973.14343
287,4706.676993
288,8093.410258
289,5035.744643
290,9027.867218
291,7288.884849
292,18042.47942
293,4992.063043
294,9102.267849
295,2540.407726
296,12941.89193
297,2365.348601
298,5720.765064
299,7035.534088
300,2636.97773
301,5395.831967
302,8382.630118
303,31161.74523
304,2887.742258
305,8714.922135
306,25585.72783
307,10272.6082
308,4376.363592
309,5318.89664
310,4719.762191
311,4428.031583
312,5879.176092
313,9416.908485
314,8288.155579
315,32654.8383
316,4719.450052
317,3903.474784
318,5457.259678
319,2725.356404
320,4433.97368
321,5332.462694
322,2315.094985
323,5411.953687
324,9587.33234
325,22103.5072
326,9764.945308
327,2567.151468
328,2650.622781
329,11264.36334
330,2168.523464
331,8610.667489
332,2834.646235
333,8930.139728
334,5536.386959
335,2840.85429
336,8082.880956
337,5254.734278
338,5116.237577
339,3034.646997
340,8024.89992
341,18211.14319
342,5121.563312
343,2150.178588
344,5595.389905
345,7562.824036
346,5385.853211
347,4718.558501
348,9422.567923
349,3605.860265
350,7762.590564
351,23444.90045
352,2558.178159
353,5123.170887
354,2537.744494
355,2969.593296
356,4363.124641
357,5884.308607
358,5272.191556
359,5509.895664
360,16313.68349
361,5678.050167
362,12101.20884
363,2453.570794
364,5075.66267
365,3214.979402
366,12275.34309
367,2722.210707
368,2457.440923
369,3554.845264
370,4929.549699
371,8036.45034
372,4276.915328
373,33473.34946
374,5960.581363
375,44795.46942
376,3832.118106
377,6837.932624
378,5285.26816
379,3096.511217
380,3589.710715
381,2582.408525
382,2487.729726
383,13575.67599
384,4685.504251
385,28685.82785
386,2764.032126
387,6183.111464
388,3873.647046
389,18929.3306
390,5553.295758
391,5011.259184
392,10442.44633
393,2199.61781
394,8709.845263
395,7484.310483
396,2613.023132
397,9080.639651
398,13770.97618
399,2876.822941
400,5548.031892
401,5097.526248
402,24143.87556
403,3538.059456
404,29091.23936
405,19834.20115
406,4731.366975
407,35537.846
408,34611.37896
409,20216.30883
410,13976.51925
411,5904.088162
412,5595.835041
413,2294.303629
414,6273.911874
415,3726.727996
416,5285.118669
417,5110.680779
418,7126.596501
419,4601.634099
420,9155.239699
421,14808.05624
422,8901.678357
423,5734.598243
424,4177.696973
425,27776.28906
426,10364.34749
427,7851.901368
428,4772.943848
429,14226.50485
430,4031.104947
431,2794.907476
432,4362.931238
433,9624.524417
434,5015.009472
435,6948.422239
436,2896.918767
437,21903.91364
438,9028.821403
439,5303.759534
440,4165.354461
441,5123.768112
442,9492.342964
443,8204.863191
444,9877.295699
445,4815.009736
446,6277.011679
447,8260.639809
448,2549.450038
449,4502.679656
450,3803.921781
451,8635.4035
452,5510.558964
453,3585.884123
454,4889.25278
455,2756.941661
456,3289.547398
457,10937.1785
458,7375.567916
459,10110.77818
460,5119.414293
461,8533.832013
462,2224.768
463,8042.803784
464,2554.437138
465,18073.93999
466,2430.506586
467,3167.658442
468,5465.603983
469,10357.51422
470,2537.813878
471,2821.947219
472,7757.128146
473,4079.132667
474,5955.544552
475,14158.61364
476,8487.238032
477,6285.476868
478,11473.48149
479,2310.882998
480,23594.6802
481,2514.59196
482,5380.898636
483,4770.550911
484,6756.651404
485,5936.011773
486,3570.760509
487,6019.960469
488,5426.863953
489,2730.313804
490,4982.681374
491,8769.266756
492,4220.613534
493,11537.50507
494,5887.182043
495,4700.583771
496,10963.95723
497,2523.171245
498,3757.804716
499,12941.73353
500,3764.465074
501,6889.557028
502,3623.454198
503,7582.113842
504,8277.74558
505,2576.455597
506,8205.387936
507,19582.46887
508,6481.526576
509,2599.310879
510,9830.337629
511,10442.65139
512,36057.53702
513,8470.036773
514,8278.786492
515,4788.932598
516,3087.999917
517,4443.736209
518,7984.086473
519,7180.971028
520,15656.03434
521,5780.182197
522,20714.94043
523,5337.352409
524,5050.826183
525,5116.624022
526,7268.736958
527,2616.613903
528,3738.436222
529,2725.356404
530,5453.861203
531,6846.150323
532,6172.914199
533,10346.32454
534,6997.008618
535,4196.257691
536,7858.109763
537,6064.343994
538,17497.52201
539,8970.647312
540,5923.117229
541,35850.59935
542,4331.460674
543,13309.33517
544,4528.50489
545,2791.906514
546,8092.87696
547,7996.00748
548,5129.738992
549,5697.175238
550,9217.130629
551,10208.92761
552,4170.687348
553,4505.405812
554,3107.568648
555,5528.664986
556,5045.866663
557,2962.722482
558,8665.956372
559,11413.44115
560,15488.43196
561,6048.574243
562,5934.741492
563,3543.232138
564,3490.028304
565,3683.099864
566,5989.773931
567,12500.84302
568,8609.158215
569,2497.45507
570,7019.177186
571,5387.926265
572,6165.557517
573,2730.20294
574,5162.116944
575,7937.064822
576,8608.157233
577,2632.545795
578,7785.004214
579,8255.76385
580,4980.825042
581,7457.237794
582,12302.76244
583,6862.508337
584,9048.983447
585,5548.031892
586,8312.681598
587,2389.980951
588,4458.113369
589,5295.741716
590,3839.606117
591,3731.504584
592,2778.903705
593,4016.541995
594,8236.917193
595,2491.317024
596,2908.875917
597,4282.947971
598,8341.623748
599,5090.781344
600,7366.1883
601,2436.875126
602,8852.688689
603,23875.47675
604,5600.496541
605,4636.54647
606,7573.345057
607,14696.63549
608,12298.6863
609,7724.840065
610,5946.670679
611,8000.545061
612,6457.560953
613,7281.44014
614,2592.437797
615,4678.423394
616,13869.92705
617,8717.777831
618,5233.986808
619,4764.189722
620,2472.469209
621,5608.316348
622,5505.057003
623,2606.208503
624,10481.94383
625,3256.766388
626,30475.78048
627,6364.902164
628,9468.509337
629,5631.451866
630,7780.999262
631,9816.528302
632,7519.133631
633,10179.71704
634,2772.839235
635,4037.501846
636,21435.87782
637,2676.867914
638,2523.959554
639,6988.401604
640,2695.963857
641,2673.319593
642,12157.32992
643,2957.764017
644,7433.820995
645,3099.538005
646,8415.684559
647,26843.12452
648,13057.17071
649,9599.950239
650,8535.108918
651,8293.481886
652,6846.150323
653,6636.859781
654,5802.83547
655,5077.320916
656,12427.39371
657,10990.59477
658,3435.25008
659,6624.61183
660,5757.442258
661,2691.568951
662,2886.451602
663,5341.438779
664,4160.018087
665,2846.24535
666,4770.256564
667,5059.616223
668,9095.744565
669,2688.863963
670,8277.637562
671,9057.935331
672,3801.750407
673,9339.341599
674,2520.12318
675,4984.095342
676,2595.747991
677,7437.693335
678,14536.78759
679,5913.305869
680,2771.663013
681,29194.36639
682,9880.38582
683,15114.40241
684,5759.91084
685,8495.164213
686,4381.184212
687,6997.827397
688,11430.58845
689,7482.486135
690,8596.916624
691,7854.960831
692,2582.408525
693,2275.363967
694,4118.588554
695,12157.32992
696,5152.819636
697,6512.976472
698,27789.69235
699,4191.966092
700,10928.40709
701,7615.381271
702,2004.350666
703,2434.681155
704,14195.36028
705,9427.684903
706,11982.42085
707,3102.789546
708,4222.631209
709,4023.814439
710,5297.151805
711,21423.63723
712,4416.206243
713,4639.035171
714,4863.544585
715,25830.90982
716,2974.314896
717,2064.458781
718,10064.60828
719,5500.01251
720,5489.214062
721,2612.756658
722,8573.463947
723,24127.50402
724,8550.386579
725,2308.648034
726,4254.620669
727,8982.850377
728,7868.165983
729,7704.248723
730,10552.16999
731,11681.37428
732,8737.837514
733,5454.890731
734,7705.283329
735,7039.262387
736,8838.085637
737,8733.527338
738,9597.474777
739,4506.660224
740,17857.97233
741,4737.871725
742,5426.136238
743,7998.143771
744,2897.620704
745,11599.50219
746,15147.93055
747,5435.767832
748,2725.356404
749,13297.71225
750,9927.049694
751,17771.54902
752,18269.27017
753,2722.210707
754,7083.212357
755,10179.71704
756,5889.509098
757,15771.39342
758,5288.173294
759,27580.55396
760,7778.532347
761,7341.861257
762,7919.197048
763,2163.870179
764,9787.808819
765,5207.640754
766,21147.27716
767,12280.76661
768,2441.394244
769,6535.560574
770,9206.598256
771,4118.588554
772,4838.208972
773,4625.548098
774,14042.103
775,7546.613549
776,2514.59196
777,5170.358435
778,13917.37715
779,11318.13083
780,4276.363627
781,4322.240343
782,8002.308333
783,3885.456401
784,4471.778239
785,8496.352846
786,22500.88348
787,16301.9676
788,2319.735908
789,8717.049833
790,2860.111745
791,2453.408288
792,5989.773931
793,24980.22553
794,7482.639506
795,2457.576007
796,2379.741171
797,8286.964421
798,2393.915369
799,4657.159469
800,13197.92893
801,2803.916726
802,8646.504109
803,7425.870642
804,4528.737362
805,2227.072755
806,7292.948758
807,3184.355246
808,11315.20373
809,2530.705137
810,18361.55525
811,8641.530036
812,3278.53188
813,5271.982116
814,3763.637743
815,13955.56961
816,5001.527484
817,7082.830426
818,7619.482766
819,12550.88198
820,32196.60037
821,6793.77405
822,5272.319663
823,6265.343299
824,8547.586142
825,2787.423683
826,4626.801093
827,8663.363959
828,3872.222217
829,5170.811494
830,8960.280213
831,5471.83429
832,34931.00171
833,2620.392335
834,19069.49954
835,5757.442258
836,40224.01359
837,2701.488341
838,3712.430479
839,21850.84002
840,7840.165778
841,8237.037945
842,2243.473907
843,8434.464067
844,2227.072755
845,5170.025981
846,2641.446062
847,2790.682957
848,2745.129849
849,7579.532717
850,10978.78028
851,8255.060054
852,4747.734642
853,3540.90425
854,3436.134281
855,2582.185301
856,44771.29936
857,7396.283653
858,4330.799785
859,9075.768214
860,14635.45158
861,5609.082494
862,11565.68747
863,2771.045031
864,8507.128824
865,7582.113842
866,3323.092454
867,5234.331741
868,24709.59957
869,3123.080994
870,2551.226692
871,7247.713672
872,4538.847818
873,2687.314108
874,8730.421977
875,8332.730557
876,2357.747015
877,4637.164036
878,5357.192698
879,5391.970996
880,3694.140498
881,5040.412436
882,27495.42188
883,4842.284965
884,2678.058299
885,5227.101938
886,2590.096027
887,10536.07798
888,8581.278701
889,9463.113263
890,13441.00637
891,3886.504807
892,6784.89369
893,23594.6802
894,2538.62632
895,5639.941974
896,2459.171724
897,2667.270014
898,13778.36933
899,4923.18169
900,2272.335352
901,14895.39798
902,9756.044954
903,9422.974113
904,3837.357574
905,10952.13189
906,8159.136579
907,19480.49981
908,3919.366722
909,7985.14214
910,12168.74492
911,5849.321498
912,5085.836595
913,2903.939763
914,31162.6933
915,3086.873854
916,5178.704151
917,14024.35839
918,10640.93932
919,4949.803822
920,8595.665294
921,22951.892
922,3792.13031
923,2755.747968
924,4880.339614
925,9051.905275
926,10115.44622
927,8269.075366
928,8071.65295
929,7726.993623
930,8311.1359
931,2574.020376
932,5727.327124
933,5441.42013
934,2744.519593
935,5636.740347
936,16870.3882
937,2738.001957
938,4644.700497
939,4746.686506
940,16874.32815
941,2387.60606
942,2504.907557
943,4591.625938
944,13092.58578
945,9112.266649
946,4165.166581
947,2659.980563
948,11986.59212
949,2898.732747
950,2894.243869
951,3500.454354
952,2621.808611
953,10221.80504
954,2578.270957
955,6242.595729
956,5220.280968
957,9075.768214
958,4525.365839
959,4970.357298
960,15467.78904
961,5838.89915
962,10656.88195
963,2289.618736
964,5439.804227
965,7956.150059
966,4458.113369
967,2555.051532
968,3307.99904
969,5041.29961
970,13350.1209
971,4931.221348
972,7776.835189
973,2553.672212
974,4876.469668
975,9034.305834
976,8105.910755
977,5619.689084
978,15727.13063
979,6618.016423
980,4670.047979
981,10169.36981
982,8323.073985
983,2417.759961
984,8044.872393
985,5325.724541
986,6947.524013
987,5847.415237
988,2584.203924
989,4724.786102
990,2790.227993
991,21531.33284
992,12622.83268
993,20171.96154
994,16464.36587
995,5595.389905
996,4170.687348
997,2665.447079
998,7098.91414
999,3971.345097
1000,5528.212807
1001,8338.995787
1002,38445.85587
1003,5448.555219
1004,10808.06597
1005,6185.09653
1006,3208.225911
1007,5480.104065
1008,22986.15393
1009,13107.92594
1010,7462.926263
1011,11463.99097
1012,7236.132483
1013,6232.687923
1014,28393.32994
1015,3746.751625
1016,21569.33731
1017,5012.083744
1018,3371.858433
1019,3864.776795
1020,4145.711862
1021,5156.072651
1022,3667.37497
1023,7835.683513
1024,14567.26841
1025,10171.33903
1026,4135.775206
1027,5511.491102
1028,2429.280527
1029,5414.61734
1030,7421.593541
1031,4458.113369
1032,14476.12489
1033,4936.888359
1034,4525.276524
1035,6701.770088
1036,14134.3474
1037,24723.18311
1038,2838.067784
1039,3848.483648
1040,19504.4739
1041,26900.27013
1042,4361.372941
1043,2529.077508
1044,2504.444752
1045,8649.700578
1046,13668.35528
1047,20635.0846
1048,2517.533581
1049,5326.677654
1050,2600.272131
1051,8534.792754
1052,8828.834957
1053,2248.449633
1054,8861.149536
1055,4556.592993
1056,2530.705137
1057,5251.983996
1058,6743.119265
1059,14014.72129
1060,9438.915619
1061,10506.77172
1062,4213.918619
1063,4773.686425
1064,4547.892543
1065,2842.266905
1066,3059.550321
1067,20314.9976
1068,3239.124699
1069,4626.801093
1070,8997.040244
1071,25807.063
1072,3808.122147
1073,7614.137981
1074,6898.455315
1075,2298.379166
1076,2806.696138
1077,5206.118179
1078,45708.65342
1079,8007.349108
1080,2321.88367
1081,2463.236825
1082,5498.940679
1083,5243.828046
1084,21639.83862
1085,4886.544296
1086,4169.356909
1087,5479.555081
1088,6177.109254
1089,8287.679305
1090,9886.656416
1091,2712.915597
1092,10477.67631
1093,3436.134281
1094,2596.1852
1095,12731.95161
1096,3494.147878
1097,7597.910661
1098,4015.214476
1099,20477.10841
1100,8160.689782
1101,12298.6863
1102,8714.922135
1103,4853.534204
1104,4880.94644
1105,2311.382109
1106,4327.098922
1107,12298.6863
1108,8323.533338
1109,10179.71704
1110,7761.267839
1111,5239.890913
1112,4517.908834
1113,2389.774148
1114,4130.628776
1115,21404.35885
1116,5227.766419
1117,6187.345744
1118,5113.874718
1119,11039.31617
1120,32227.08389
1121,2611.965869
1122,13372.32772
1123,4838.981869
1124,4721.659016
1125,3873.647046
1126,6770.306834
1127,16979.79757
1128,13681.71178
1129,5717.221919
1130,9486.596417
1131,3839.143697
1132,11211.59027
1133,25807.063
1134,3798.32165
1135,2816.567395
1136,6948.325858
1137,3444.967503
1138,2859.40857
1139,2692.057629
1140,11431.73089
1141,7635.883324
1142,9805.829614
1143,6803.615629
1144,7107.655397
1145,4735.184474
1146,6874.326693
1147,2411.256575
1148,2416.542359
1149,23981.54344
1150,4692.165155
1151,3600.934326
1152,2665.222511
1153,7666.520438
1154,16675.89616
1155,4550.856045
1156,11763.93565
1157,13742.53724
1158,16138.41628
1159,8819.018934
1160,6673.737677
1161,7782.126848
1162,19393.21145
1163,3974.13815
1164,4105.580991
1165,2308.472055
1166,5372.914477
1167,5508.315536
1168,2398.333185
1169,3728.83013
1170,2758.498582
1171,3703.930261
1172,9372.843639
1173,4991.584471
1174,39400.1854
1175,2759.978287
1176,7993.003997
1177,5235.573528
1178,2633.011837
1179,2764.802284
1180,8084.846371
1181,2685.177658
1182,12208.12004
1183,20090.43865
1184,32864.4046
1185,2491.317024
1186,6314.596813
1187,16229.64891
1188,5161.789881
1189,3982.266087
1190,13473.18567
1191,6921.973993
1192,8276.44416
1193,14349.85991
1194,5878.199296
1195,2666.05454
1196,5345.680998
1197,4777.121596
1198,16973.74021
1199,2518.112127
1200,19160.98994
1201,6273.173441
1202,3964.81296
1203,4911.773088
1204,7805.31287
1205,7200.664877
1206,5389.499465
1207,3241.314176
1208,5528.212807
1209,7173.909404
1210,7076.653181
1211,3700.385003
1212,5328.835851
1213,4838.877084
1214,10700.4952
1215,7879.928952
1216,7869.432384
1217,2586.807171
1218,7286.789075
1219,11797.99211
1220,9386.753031
1221,6308.922374
1222,17484.53438
1223,15428.01044
1224,5630.793
1225,18131.18874
1226,8087.219475
1227,18453.57629
1228,5217.513287
1229,4835.783179
1230,5597.12496
1231,8920.463999
1232,5995.411008
1233,38496.94701
1234,8382.630118
1235,13372.02426
1236,8972.140307
1237,5405.518391
1238,9352.478998
1239,4339.871053
1240,17723.76398
1241,7507.455372
1242,8029.393076
1243,2831.587689
1244,10080.37031
1245,6503.397049
1246,3331.445625
1247,4620.390087
1248,2471.528431
1249,6494.243995
1250,9657.579498
1251,4904.894731
1252,4802.477033
1253,7955.774758
1254,6941.900812
1255,8382.478392
1256,3536.431774
1257,3244.816567
1258,7611.212764
1259,4505.398267
1260,2445.844833
1261,16477.76843
1262,3546.400212
1263,4277.27009
1264,4784.773547
1265,7572.237727
1266,11760.87637
1267,3933.813993
1268,5700.761833
1269,3498.634784
1270,5768.091295
1271,6361.954003
1272,6503.397049
1273,6832.111972
1274,5785.223477
1275,5619.689084
1276,2599.2896
1277,6732.970948
1278,18321.86647
1279,9102.902307
1280,4002.857594
1281,8620.997439
1282,10388.986
1283,8427.172486
1284,7007.274228
1285,5176.579135
1286,5389.499465
1287,4067.004737
1288,4434.941371
1289,14010.52742
1290,12350.05824
1291,8161.576876
1292,11009.13049
1293,8717.049833
1294,5917.466603
1295,2503.660407
1296,12682.25069
1297,4330.38602
1298,10487.74332
1299,3567.503755
1300,19896.42226
1301,21423.63723
1302,5581.761298
1303,3515.831889
1304,12036.62051
1305,3609.798318
1306,17732.46488
1307,8509.850887
1308,5866.424273
1309,4825.500869
1310,5389.499465
1311,7778.005623
1312,26346.08582
1313,14866.45116
1314,8324.23271
1315,9238.305998
1316,22693.29076
1317,6236.018595
1318,5012.184756
1319,8176.576796
1320,2582.862313
1321,3118.981095
1322,2938.07856
1323,6883.686618
1324,2215.912948
1325,4297.018104
1326,21522.94749
1327,2761.691693
1328,22563.61838
1329,5285.918307
1330,35062.64795
1331,5913.199024
1332,2593.398672
1333,12692.67092
1334,3309.11965
1335,4754.449647
1336,2413.93064
1337,2161.685527
1338,5527.988928
1339,10629.21789
1340,11820.1098
1341,4964.63152
1342,9122.92563
1343,5309.435869
1344,3460.66504
1345,2872.980808
1346,9927.877699
1347,3482.687007
1348,3991.727249
1349,5510.107444
1350,3600.934326
1351,5419.45812
1352,5810.630529
1353,3942.725768
1354,3126.271893
1355,3530.007745
1356,5029.296953
1357,4772.943848
1358,2202.3352
1359,8717.049833
1360,10373.88882
1361,7250.029606
1362,4307.422775
1363,3040.253837
1364,19160.98994
1365,5391.078171
1366,5285.307579
1367,8024.992989
1368,2810.464447
1369,7739.550403
1370,2175.740021
1371,3275.16199
1372,2652.695343
1373,5048.226244
1374,5515.41017
1375,4858.429375
1376,2144.921535
1377,6042.618486
1378,3387.203337
1379,10864.27491
1380,8842.650024
1381,4389.279424
1382,30763.25637
1383,20725.37773
1384,8591.305411
1385,2646.573754
1386,4607.244307
1387,4860.62003
1388,2580.849899
1389,8646.504109
1390,8405.752991
1391,3096.511217
1392,29412.2893
1393,5898.733666
1394,17497.52201
1395,3218.608644
1396,23207.26972
1397,8032.401911
1398,13918.5348
1399,8966.309774
1400,11981.98481
1401,5532.629846
1402,11660.57298
1403,2886.451602
1404,12741.84754
1405,5398.098108
1406,7285.030983
1407,17651.96339
1408,17029.89338
1409,2491.257604
1410,4039.315002
1411,2619.337376
1412,5049.689638
1413,4983.457132
1414,2530.639412
1415,7396.719746
1416,3832.898507
1417,4961.405917
1418,3861.486269
1419,22658.53652
1420,10408.96865
1421,4834.710493
1422,8257.666512
1423,3052.629532
1424,4012.319346
1425,13355.48637
1426,2364.43161
1427,2489.337928
1428,4755.720009
1429,13864.38495
1430,3020.424822
1431,6285.305195
1432,2506.021971
1433,2826.307641
1434,4369.71794
1435,12174.58795
1436,3528.044252
1437,10436.57466
1438,2746.121383
1439,9175.171899
1440,4979.079933
1441,2585.937023
1442,9449.745947
1443,4568.819387
1444,2574.020376
1445,8789.88406
1446,2507.407815
1447,2522.41457
1448,7542.713967
1449,6005.214792
1450,20998.25947
1451,2345.084479
1452,8783.165364
1453,4529.965388
1454,6033.222351
1455,5308.246978
1456,2674.730716
1457,4929.8075
1458,14131.12134
1459,2471.528431
1460,6005.214792
1461,14082.63918
1462,19116.56806
1463,6631.665538
1464,7432.299921
1465,2928.115104
1466,46611.87375
1467,16515.00927
1468,8609.158215
1469,10213.56338
1470,10049.28585
1471,5746.148291
1472,3746.751625
1473,7486.068405
1474,9120.065162
1475,5678.046711
1476,7517.083811
1477,4530.530663
1478,2691.380574
1479,8068.623946
1480,2478.576723
1481,9112.041503
1482,2772.441318
1483,4305.793209
1484,5103.35758
1485,4784.960513
1486,10541.10977
1487,2179.425137
1488,7610.840476
1489,8510.525936
1490,16172.94049
1491,2425.494812
1492,2899.317224
1493,3633.05403
1494,3457.154249
1495,3394.720301
1496,3781.4548
1497,5841.528134
1498,5479.854218
1499,20455.24946
1500,8319.123035
1501,5181.620895
1502,4163.79336
1503,4853.100287
1504,7531.697272
1505,3280.457296
1506,32961.15225
1507,2684.581561
1508,10392.96347
1509,9036.657561
1510,5352.18703
1511,11880.96623
1512,2557.094323
1513,7914.82311
1514,9840.082616
1515,4351.550504
1516,22207.82615
1517,4825.258632
1518,6947.838781
1519,3344.809462
1520,2357.503128
1521,35944.71048
1522,10408.96865
1523,4048.16129
1524,6852.001946
1525,2903.024168
1526,18039.11422
1527,3242.043926
1528,2467.620791
1529,5674.383424
1530,8634.355958
1531,2780.196856
1532,22056.00496
1533,2514.59196
1534,5886.221122
1535,7706.036295
1536,2790.458197
1537,2397.036098
1538,8834.322784
1539,14435.67365
1540,6871.966648
1541,15362.35442
1542,4834.797545
1543,10899.30177
1544,5284.041003
1545,2891.726781
1546,4900.545112
1547,20842.5963
1548,8415.644389
1549,6630.836094
1550,12036.62051
1551,3895.034766
1552,11701.06985
1553,3419.108695
1554,7302.775082
1555,19685.40911
1556,2486.064902
1557,5224.328801
1558,49221.43073
1559,3167.888725
1560,7805.31287
1561,13197.92893
1562,6234.305918
1563,7539.600588
1564,8157.933629
1565,13156.74895
1566,5107.624201
1567,5339.388388
1568,8649.175023
1569,7519.133631
1570,4293.009593
1571,4529.062612
1572,13160.3389
1573,13235.54436
1574,3744.577726
1575,28486.0728
1576,2644.684556
1577,5073.282126
1578,4272.585137
1579,11003.01645
1580,14181.64282
1581,8875.965501
1582,11077.68591
1583,2435.689035
1584,8743.852187
1585,2409.760898
1586,2499.498786
1587,8528.288669
1588,3591.996064
1589,8539.826923
1590,6990.917824
1591,3979.388247
1592,23950.37443
1593,2321.052528
1594,5087.020469
1595,4362.931238
1596,7457.468107
1597,7027.759594
1598,2831.683664
1599,4217.857932
1600,7596.291531
1601,8365.677648
1602,2726.392968
1603,3420.452207
1604,4839.107156
1605,4358.553534
1606,7255.953792
1607,23515.85325
1608,8396.327608
1609,5170.976384
1610,5585.30807
1611,8639.49502
1612,5281.833471
1613,8385.252347
1614,4633.101259
1615,2480.392738
1616,3618.686938
1617,2480.045899
1618,4893.291507
1619,10737.68425
1620,2616.613903
1621,15725.25053
1622,9553.415528
1623,7507.455372
1624,7324.928202
1625,5333.038137
1626,12767.23056
1627,2829.863912
1628,3483.630439
1629,4636.54647
1630,17530.03658
1631,6978.719808
1632,2912.248444
1633,4209.279338
1634,5009.808888
1635,5217.513287
1636,11490.33618
1637,2864.544017
1638,8403.910248
1639,20395.96875
1640,36470.3024
1641,16727.77186
1642,5801.128252
1643,9472.973811
1644,10484.91535
1645,4387.31087
1646,4522.883533
1647,5418.152088
1648,5246.057249
1649,15785.29692
1650,22110.39804
1651,9540.923395
1652,4756.12617
1653,2447.053134
1654,5675.923323
1655,2491.257604
1656,7308.433864
1657,32871.74779
1658,5228.92013
1659,20700.8645
1660,5800.171881
1661,4330.38602
1662,6292.735356
1663,4917.889638
1664,5165.810048
